AN,TAB,Seed
1010,"Application of multivariate statistical analysis and hydrochemical and isotopic investigations for evaluation of groundwater quality and its suitability for drinking and agriculture purposes: case of Oum Ali-Thelepte aquifer, central Tunisia Groundwater plays a dominant role in arid regions; it is among the most available water resources in Tunisia. Located in northwestern Tunisia, Oum Ali-Thelepte is a deep Miocene sedimentary aquifer, where groundwater is the most important source of water supply. The aim of the study is to investigate the hydrochemical processes leading to mineralization and to assess water quality with respect to agriculture and drinking for a better management of groundwater resources. To achieve such objectives, water analysis was carried out on 16 groundwater samples collected during January-February 2014. Stable isotopes and 26 hydrochemical parameters were examined. The interpretation of these analytical data showed that the concentrations of major and trace elements were within the permissible level for human use. The distribution of mineral processes in this aquifer was identified using conventional classification techniques, suggesting that the water facies gradually changes from Ca-HCO3 to Mg-SO4 type and are controlled by water-rock interaction. These results were endorsed using multivariate statistical methods such as principal component analysis and cluster analysis. The sustainability of groundwater for drinking and irrigation was assessed based on the water quality index (WQI) and onWilcox and Richards's diagrams. This aquifer has been classified as ""excellent water"" serving good irrigation in the area. As for the stable isotope, the measurements showed that groundwater samples lay between global meteoric water line (GMWL) and LMWL; hence, this arrangement signifies that the recharge of the Oum Ali-Thelepte aquifer is ensured by rainwater infiltration through mountains in the border of the aquifer without evaporation effects.",1
1011,"[Preliminary analysis of spatiotemporal variation of water quality and its influencing factors in the Jiulong River watershed] Twenty one sub-watersheds in the Jiulong River watershed were chosen for in-situ monitoring water quality of baseflow in flood season, dry season and average season in 2010. Geographical information system and multivariate analysis were coupled to characterize the spatiotemporal variation of water quality and identify its influencing factors. The results show that the water quality in dry season is the worst whereas the water quality in flood season is comparatively good. The first principal component representing sanitary and industrial wastewater pollution, explained 45.58% of the total variance of water quality. The second principal component concerning pollution due to agricultural activities, explained 21.28% of the total variance. NH4(+) -N, SRP, potassium permanganate index, K+, Cl-, Mg2+ and Na had a significantly positive correlation with percentage of built-up and density of population. NO3(-) -N was correlated positively with percentage of cropland. The sub-watersheds with high proportion of build-up area and density of population show high concentration of NH4(+) -N, SRP, potassium permanganate index, K+, Cl-. Comparatively, the sub-watersheds with high percentage of cropland show high level of nitrate concentration. Improvement of the wastewater treatment efficiency and increased recognition of agricultural non-point source pollution were finally highlighted from watershed management perspectives.",
1012,"Evaluation of the impact of water supply disruptions in bioethanol production Factors such as raw materials availability, production capacity, technology, and costs promote the development and feasibility of supply chains. However, some other factors are more than important for supply chain development; they are essential. In the context of biofuel supply chains, water is a crucial factor; nevertheless, scientific research has not yet analyzed how water scarcity can compromise the performance of these supply chains. To address this gap, this research analyzes as a case study a leading company in Mexico that produces and distributes biofuel in the country. Lately, the company has experienced serious production stoppages due to water supply disruptions. This work develops a system dynamics simulation model to evaluate, by means of a sensitivity analysis, the effects of water supply disruption on industrial production and biofuel demand satisfaction in four duration periods: 8, 12, 24, and 48 h. The results indicate that production disruptions due to water scarcity can be avoided by reducing the mash flow that feeds the distillation column as long as the water scarcity period lasts no more than 12 h. Similarly, it was found that demand satisfaction decreases when the scarcity period lasts for 24-48 h, yet demand satisfaction remains stable when water disruption lasts less than 24 h. The findings also indicate that when demand increases by 20%, it is impossible to fulfill it in any case. Therefore, several scenarios designed to improve demand satisfaction were evaluated.",
1013,"Distribution and production of reactive mercury and dissolved gaseous mercury in surface waters and water/air mercury flux in reservoirs on Wujiang River, Southwest China Transformation and distribution of mercury (Hg) species play an important role in the biogeochemical cycling of mercury in aquatic systems. Measurements of water/air exchange fluxes of Hg, reactive mercury (RHg), and dissolved gaseous mercury (DGM) concentrations were conducted at 14 sites in five reservoirs on the Wujiang River, Guizhou, Southwest China. Clear spatial and temporal variations in Hg fluxes, RHg, and DGM concentrations were observed in the study area. Hg fluxes and RHg concentrations exhibited a consistent diurnal variation in the study area, with maximum fluxes and concentrations during daytime. A typical diurnal trend of DGM with elevated concentration at night was observed in a eutrophic reservoir with elevated bacteria abundance, suggesting a bacteria-induced production of DGM in this reservoir. For other reservoirs, a combination of sunlight-stimulated production and loss via photo-induced oxidation and evaporation regulated the diurnal trends of DGM. Seasonal variations with elevated Hg fluxes and RHg concentrations in warm season were noticeable in the study area, which highlighted the combined effect of interrelationships between Hg species in water and environmental parameters. Hg fluxes exhibited much more significant correlations with RHg and THg concentrations and air temperature compared to DGM concentrations and solar radiation. The measured fluxes were significantly higher than those simulated using the water/air thin film Hg0 gradient model. Aside from the potential limitations of dynamic flux chamber method, this may also suggest the thin film gas exchange model is not capable of predicting water/air Hg flux under low wind speed conditions. Additionally, it is speculated that DGM concentrations might vary significantly in surface waters with depth, and measurements of DGM at a depth of 2-4cm below the water surface probably underestimated the DGM concentration that should be taken into account in simulations of water/air flux using the thin film gas exchange model. An empirical model of water/air Hg flux was developed, and the simulated fluxes were compared well with measurements. The model yields a mean annual Hg emission of 3.2 +/- 1.0kg in the study area.",1
1014,"Deformation and regional carbonate metasomatism of turbidite-hosted Cretaceous alkaline lamprophyres (northwestern Papua New Guinea) A suite of variably metasomatised camptonite dykes and rare stocks, named the Fu Intrusives, has been recognised within thrust plates of Mesozoic slates in a 3000-km2 portion of the New Guinea Thrust Belt. The intrusions were emplaced prior to Oligo-Miocene fold deformation and low-grade regional metamorphism of their host, and consequently have foliated margins and are cross-cut by metamorphic quartz veins. Samples from the less altered stocks display primary cumulophyric aggregates of kaersutite + titansalite + titanbiotite, set in a matrix of albite + salite + apatite Â± olivine Â± quartz. Calcite ocelli are occasionally present. REE patterns ( LaCN LuCN âˆ¼ 10, La âˆ¼ 100 Ã— chondrite) and initial Sr ratios (âˆ¼0.7042) are typical of alkaline lamprophyres. Kaersutite and titanbiotite separates from such samples have yielded concordant KAr ages of âˆ¼75 Ma (Campanian), which we accept as the age of intrusion. However, the dykes have suffered heavy texture-destructive carbonate-sericite alteration, though relict cumulophyric texture and globular structures are sometimes observed. Composition-volume calculations suggest that metasomatism was accompanied by loss of Na, Ti and P; and systematic addition of Ca, Fe and CO2, as well as progressive LREE depletion and Fe reduction. Alteration carbonates exhibit a narrow range of Î´18O-values (+ 13.8 to + 14.9â€°), indicating uniform conditions of metasomatism throughout the terrain. The calculated fluid Î´18O at a model temperature of 300 Â± 50Â°C is +8Â±2â€°, which corresponds with that deduced from the Î´18O-value (+ 12.3â€°) of the cleanest sericite separate. The four analysed sericite separates have a mean Î´D of -64 Â± 12â€°, implying an hydrogen isotopic composition for the alteration fluid of -58 Â± 30â€° at 300 Â± 50Â°C. The calculated fluid composition therefore overlaps the normal range of metamorphic and magmatic waters. However, C and Sr isotopic ratios of the alteration carbonates (Î´13C - 7.3 to + 0.4â€°; 87Sr86Sr 0.7076-0.7126) strongly support a crustal source for the metasomatic fluids. This is corroborated by field evidence that country rock slates adjacent to the dykes are unaffected by carbonate metasomatism and hence were in equilibrium with the alteration fluid. We therefore conclude that regional carbonate metasomatism of the Fu Intrusive Suite occurred as a result of metamorphic dewatering of their host rocks during slaty cleavage development. Â© 1988.",
1015,"Agriculture in Iraq: Resources, potentials, constraints, research needs and priorities The agrarian sector in Iraq witnessed a number of drastic measures during the last 40 years. Estimates of cultivable land areas vary from 5-8 million ha; however, no more than 3.5 million ha (47% irrigated and 53% dryland farming) have been actually cultivated. Renewable fresh water resources are estimated at about 2,000 m(3)/person/year; however, Iraq faces huge water problems; these are caused by geographic, topographic and management factors. Prior to 1990, Iraq produced about one-third of its annual basic food needs and spent about US$ 2 billion to import the balance of its requirements. Since then, despite emphasis on increasing food production, the country continues to face deterioration in the agricultural sector. Agricultural production remains constrained due to lack of quality seed, herbicides, insecticides, fertilizers, animal vaccines, machinery, irrigation equipment and spare parts. Moreover, water resources in the drylands are declining due to a severe drought which devastated crops on 70% of the rainfed arable land in the country. Farmers in Iraq are struggling to produce under poor environmental conditions with few tools for coping with drought, salinity, pests, and shortages of inputs and lack of appropriate technologies. Iraqi cereal production dropped sharply in the past decade due to problems with its seed multiplication system, leading to degradation of seed quality and productivity. Land degradation, salinization, and declining crop yields due to mismanagement of land resources and lack of inputs, are serious problem, especially in the irrigated lands. The country's rangelands and forest resources are deteriorating mainly as a result of overstocking what are essentially fragile ecosystems and because of deforestation for fuelwood and charcoal. The livestock sector experienced serious problems during the last decade because of shortages of feed, veterinary services and vaccines. Number of farm animals declined during the last decade, and in spite of the government's efforts to boost livestock production, meat and milk production declined by 24% during the late 1980s as compared to the 1970s. Iraq faces serious problems of environmental degradation that must be addressed immediately because failure to act now will greatly compound the cost and complexity of later remedial efforts, and because environmental degradation is beginning to pose a major threat to human well-being, especially among the poor. To deal with the multiple challenges imposed upon it by internal and external factors, the agricultural sector in Iraq has to structurally adjust itself to address socioeconomic, land-use, livestock production and feed resources, water resources, agro-ecology, environmental protection, and research and extension components in a holistic, multidisciplinary and long-term manner.",
1016,"Results of heavy metals and other water quality levels in tap water from Can sourced from Agi Dagi (Mt. Agi) (Canakkale, Turkey) (vol 14, pg 549, 2016) ",1
1017,"Prevalence and Correlates of Cryptosporidium Infections in Kenyan Children With Diarrhea and Their Primary Caregivers Background. Cryptosporidium is a leading cause of diarrhea in Sub-Saharan Africa and is associated with substantial morbidity and mortality in young children. Methods. We analyzed data from children aged 6-71 months presenting to 2 public hospitals in Western Kenya with acute diarrhea and their primary caregivers, including detection of Cryptosporidium by quantitative polymerase chain reaction (PCR) and immunoassay analysis in stool samples from both children and their caregivers. Associations between potential transmission sources and child/caregiver Cryptosporidium infection were evaluated using prevalence ratios (PRs). Secondary analyses evaluated host and clinical risk factors of child/caregiver Cryptosporidiurn infection. Results. Among 243 child-caregiver pairs enrolled, 77 children (32%) and 57 caregivers (23%) had Cryptosporidium identified by either immunoassay or PCR. Twenty-six of the 243 child-caregiver pairs (11%) had concordant detection of Cryptosporidium. Cryptosporidium infection in children was associated with detection of Cryptosporidium in caregivers (adjusted PR [aPR], 1.8; 95% CI, 1.2 to 2.6; P = .002) and unprotected water source (aPR, 2.0; 95% CI, 1.3 to 3.2; P = .003). Risk factors for Cryptosporidiurn detection in caregivers included child Cryptosporidium infection (aPR, 2.0; 95% CI, 1.3 to 3.0; P = .002) as well as cow (aPR, 3.1; 95% CI, 1.4 to 7.0; P = .02) and other livestock ownership (aPR, 2.6; 95% CI, 1.1 to 6.3; P = .03) vs no livestock ownership. Recent diarrhea in caregivers and children was independently associated with child and caregiver Cryptosporidium infections, respectively. Conclusions. Our results are consistent with the hypothesis that Cryptosporidium transmission can occur directly between child-caregiver dyads as well as through other pathways involving water and livestock. Additional research into caregivers as a source of childhood Cryptosporidiurn infection is warranted.",
1018,"Riverbank Filtration: A Sustainable Process to Attenuate Contaminants during Drinking Water Production Riverbank filtration leads to purification of water. For India it can be a simple, economical and effective alternative. A few unanswered questions were: Can it work in Indian mountainous regions? Will it be of any advantage in the case of some of the polluted Indian surface waters? With the goal to evaluate use of riverbank filtration as a sustainable technology under widely varying conditions prevalent in India, the effectiveness of riverbank filtration has been examined over the last 10 years. In the case of cleaner surface waters, the wells deliver water free of turbidity and coliform even during monsoon irrespective of well configuration. In the case of polluted source waters, it results in an overall advantage in terms of improved raw water quality, reduced degree and cost of subsequent treatment and decreased levels of disinfection by-products. The study shows riverbank filtration to be an effective and sustainable option for plains as well as the mountainous region.",
1019,"Medium-term forecasts for groundwater production and rainfall amounts (Deir El-Balah City as a case study) Forecasting is a data mining technique which benefits from a variety of time series data sources to extract actual value from historical data and helps business decision-makers in effective planning. An increase in demand for groundwater associated with uncontrolled well digging and reduced rainfall, which is the primary source of groundwater recharge, has led to the depletion of groundwater wells. As a result, the mixing of seawater with groundwater increases the salinity rate, especially in areas where wells are close to the Mediterranean Sea in Gaza. Wells digging without governmental control, increasing salinity percentages. Therefore, the arching aim of this study was to investigate the relationship between rainfall and groundwater production. In this paper, five forecasting techniques were applied on two real data sets: the rain amounts we gained from the Ministry of Agriculture and the groundwater production amounts from the Coastal Municipalities Water Utility (CMWU) of Deir El-Balah City in the Gaza Strip. The following forecasting algorithms were used: exponential smoothing (ETS); auto-regressive integrated moving average (ARIMA); and ARIMA combined with neural network (NN), (ETS) and state space model with Box-Cox transformation, ARMA errors, and trend and seasonal components (TBATS). The best performance of applied algorithms on rainfall data according to mean absolute percentage error (MAPE) measure was (ARIMA + NN) which gave the MAPE = 21%. On the other hand, ARIMA was the most convenient algorithm to forecast wells production (MAPE = 4.9%). The results demonstrated that within the next 5 years, the amounts of rainfall and groundwater production will decrease by 8.4% and 1.05%, respectively, compared to the amounts of rainfall and groundwater produced over the time span over the period (2013-2017). Based on these results, it was concluded that salinity would continue to increase in the coming years making the groundwater unusable.",
1020,"INFLUENCE OF ENCAPSULATING MATERIALS ON WATER SORPTION ISOTHERMS OF VACUUM-DRIED PERSIMMON PULP POWDER Water sorption isotherms for vacuum-dried persimmon pulp (PP) powder were determined in the temperature range of 20-50C, and the effects of maltodextrin (MD) or gum arabic (GA) addition on the water sorption behavior of the dried powders were analyzed. Several models were evaluated to fit the experimental data and the Guggenheim-Anderson-de Boer model was selected as the most adequate to describe the observed behavior. Addition of encapsulants affected the isotherms: at the same water activity, PP powder with added GA (PP + GA) or MD (PP + MD) presented lower equilibrium water content than pure PP and were less affected by temperature variations. Samples of PP + MD presented lower equilibrium moisture content than those of PP + GA. The isosteric heats of sorption of pulp powders with encapsulants were higher (less negative) than those of PP, suggesting that there are more active polar sites in PP than in pulp powder containing encapsulants. PRACTICAL APPLICATIONS The choice of persimmon to carry out this work was due to the large persimmon production available in Brazil; moreover, persimmon pulp is rich in vitamin C, vitamin A and iron, as well as in phenolic compounds. Drying of fruit pulps with high sugar content presents technical difficulties because the hygroscopicity and thermoplasticity of the resulting powders when exposed to high temperature and relative humidity. For this reason, addition of high-molar-mass biopolymers, such as maltodextrin or gum arabic, is a strategy to aid drying and to improve storage stability. Knowledge of water sorption isotherms and net isosteric heats of sorption is important to various food processing operations, including drying, storage and packaging. They are useful in calculating time and energy consumptions during drying, modeling moisture changes during storage and predicting shelf life of food products.",
1021,"Arsenic removal from naturally arsenic contaminated ground water by packed-bed electrocoagulator using Al and Fe scrap anodes In this work, feasibility of electrocoagulation (EC) process with Al and Fe scrap anodes for treatment of groundwater contaminated with arsenic (As) was examined as a cheaper treatment alternative for affected remote communities. EC experiments were carried out in a batch packed-bed EC reactor and the effect of applied current (0.010-0.100 A), type of scrap electrode (Fe and Al), packed-bed density (0.1-0.4 kg/m(3) for Fe and 0.02-0.08 kg/m(3) for Al) and EC time were investigated. Optimum operating conditions to obtain maximum contaminant level (MCL) of 10 mu g/L for total As (>93% removal) in ground-water samples were determined as 8 min and 0.05 A for Fe scrap anodes. Whereas for Al scrap anode, 30 min and 0.10 A were the optimums. The operating cost, energy and electrode consumptions at these optimums were calculated as 0.017 US $/m(3), 0.070 kW h/m(3) and 0.052 kg/m(3) for Fe anodes and 0.181 US $/m(3), 0.876 kW h/m(3) and 0.067 kg/m(3) for AL anodes respectively. The As removal slightly decreased with decrease in anode bed density. Moreover, Fe scrap anodes exhibited better As removal than the Al scrap anodes at all tested conditions. The scanning electron microscopy (SEM) of the electro-coagulated sludge revealed irregular and porous particles with amorphous structure. The Fourier-transform infrared spectroscopy (FTIR) showed bonding between Fe(III) - As(V), and As-O bond, confirming As removal by co-precipitation and adsorption, respectively in the EC process. (C) 2018 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.",
1022,"Fluid lives: subjectivities, gender and water in rural Bangladesh This article seeks to contribute to the emerging debates in gender-water and gender-nature literatures by looking at the ways that gendered subjectivities are simultaneously (re) produced by societal, spatial and natural/ecological factors, as well as materialities of the body and of heterogeneous waterscapes. Drawing from fieldwork conducted in Bangladesh on arsenic contamination of drinking water, the article looks at the ways that gender relations are influenced by not just direct resource use/control/access and the implications of different types of waters, but also by the ideological constructs of masculinity/femininity, which can work in iterative ways to influence how people relate to different kinds of water. Conflicts and struggles over water inflect gendered identities and sense of self, where both men and women participate in reproducing and challenging prevailing norms and practices. As a result, multiple social and ecological factors interact in complex and interlinked ways to complicate gender-water relations, whereby socio-spatial subjectivities are re/produced in water management and end up reinforcing existing inequities. The article demonstrates that gender-water relations are not just intersected by social axes, as generally argued by feminist scholars, but also by ecological change and spatial relations vis-a-vis water, where simultaneously socialized, ecologized, spatialized and embodied subjectivities are produced and negotiated in everyday practices.",
1023,"Shortening the recurrence periods of extreme water levels under future sea-level rise Sea-level rise, as a result of global warming, may lead to more natural disasters in coastal regions where there are substantial aggregations of population and property. Thus, this paper focuses on the impact of sea-level rise on the recurrence periods of extreme water levels fitted using the Pearson type III (P-III) model. Current extreme water levels are calculated using observational data, including astronomical high tides and storm surges, while future extreme water levels are determined by superposing scenario data of sea-level rise onto current extreme water levels. On the basis of a case study using data from Shandong Province, China, results indicated that sea-level rise would significantly shorten the recurrence periods of extreme water levels, especially under higher representative concentration pathway (RCP) scenarios. Results showed that by the middle of the century, 100-year current extreme water levels for all stations would translate into once in 15-30 years under RCP 2.6, and once in ten to 25 years under RCP 8.5. Most seriously, the currently low probability event of a 1000-year recurrence would become common, occurring nearly every 10 years by 2100, based on projections under RCP 8.5. Therefore, according to this study, corresponding risk to coastlines could well be increase in future, as the recurrence periods of extreme water levels would be shortened with climate change.",
1024,"The application of rock mass classification systems to underground excavation in weak limestone, Ataturk dam, Turkey The Ataturk dam was built across the Firat River on clayey limestone. A grout curtain, providing impermeability in the left and right abutments, was done in grouting galleries. The well known rock mass classification systems for tunneling purposes [rock structure rating (RSR), rock mass rating (RMR) and rock mass quality index (Q)] were used to classify the rock mass along these galleries. Based on RSR, RMR and Q values, the rock masses in the galleries have been classified into three different classes. Correlation between the three classification systems is discussed and suggestions are made for using rockbolt, shotcrete with wiremesh and steel ribs for supporting the rock mass. (C) 1998 Elsevier Science B.V. All rights reserved.",
